,id,qid1,qid2,question1,question2,is_duplicate
216886,216886,427639,427640,Why India's population is so high?,Why is India's population so high and increasing so rapidly? What is the way to arrest this monstrous growth?,1
163320,163320,322876,322877,What are some of the good institutes offering courses for mountaineering in India?,What are the best places to learn mountaineering in India?,1
290918,290918,571580,571581,How can we end violence against women?,Why does India have such a huge problem with violence against women?,1
26264,26264,3382,52376,"When should I use ""who"" and when should I use ""whom""?",When do we use who or whom?,1
83690,83690,166214,166215,Should we believe in Astrology?,Do you believe in horoscope?,1
186105,186105,367500,367501,What does feel like to be president?,How does it feel to be a president?,1
358103,358103,701265,701266,What are some ways of converting 15 mg to ml?,How do you convert mg dosage to ml?,1
176430,176430,348541,348542,Do florida houses need exterminators all the time?,Do Florida homeowners need exterminators on a scheduled basis?,1
128881,128881,255300,255301,Why is Libya's national flag all green? Who was the great person that invented it? What is its history?,Why is libya's flag green?,1
272047,272047,535017,535018,Will transhumanism immortality become a reality?,Can immortality be achieved?,1
155874,155874,308267,308268,"Now that Donald Trump is President, will international students stop coming to US universities?",What will happen to international students in the US if Donald Trump becomes president?,1
297802,297802,584944,584945,What's your New Year's resolution for 2017?,What would be your New Year resolutions for 2017?,1
352787,352787,691029,691030,Which is the best motor bike in the Royal Enfield series?,Which is the best bike in royal Enfield?,1
3214,3214,6427,6428,Where can I rent a PS4 in Bangalore?,Where can I rent PS4 games in Bangalore?,1
5734,5734,11460,11461,Where can I buy special flavor cupcake at Gold Coast?,Where can I found different cupcake flavors in Gold Coast?,1
279879,279879,550215,550216,How do I loose weight fast for operation?,How can I loose fat?,1
47831,47831,95231,95232,Can Heisenberg's Uncertainty Principle be applied in real life?,How do we apply the Heisenberg's uncertainty principle in daily life?,1
170644,170644,337200,337201,How can I make money as a teen?,How can I earn money as a teen?,1
90272,90272,179238,179239,Does time stop at 0 kelvin?,Is it possible to stop time by cooling a closed system down to 0 Kelvin?,1
319442,319442,626744,626745,How can some people still believe the world is flat?,Why are there still people who believe the world is flat?,1
184611,184611,364571,364572,"What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of The Yellow Sea?",What is the significance of the Battle of the Somme?,1
303189,303189,595373,595374,Do children lie? Why?,Why do children lie?,1
395341,395341,772550,772551,What is the Hrithik - Kangana matter?,What is going on between Kangana Ranaut and Hrithik Roshan these few days?,1
137935,137935,273082,273083,What are some simple life hacks?,What are the simple life hacks?,1
109792,109792,217716,217717,How do I stop pregnancy?,What should I do to stop pregnancy?,1
212194,212194,418497,418498,How much time is needed to prepare for cat?,How much time needed to prepare for CAT?,1
94126,94126,186860,186861,From where can I buy cyanide pills in India?,How do I obtain cyanide in India?,1
165538,165538,327205,327206,Which is best gaming laptop under 60000?,What are some of the best gaming laptops under rs 60000 that are available in india?,1
201146,201146,396935,396936,"If you got the chance to be born again in a country of your choice, which country would you choose?","If given a chance to be reborn in a country of your choice, what country would you choose over your native country?",1
156610,156610,309708,309709,How do I make green tea?,How can I make green tea?,1
154226,154226,305036,305037,How can I reduce fat from right side of face ?,My face has gained a lot of fat .How do I reduce it?,1
136372,136372,270005,270006,Why do people love music so much?,Why do we love music?,1
160834,160834,317993,317994,What are the best moments of Rio Olympics 2016?,What is the Best moment in RIO Olympic 2016?,1
224053,224053,441602,441603,Why is democracy considered the best form of government?,Is democracy the best form of government?,1
48866,48866,97278,97279,How do I start writing on Quora?,"How do I start writing on Quora, I am a novice in writing?",1
128135,128135,253838,253839,How do you find purpose in life?,What is the purpose of your life?,1
173303,173303,342409,342410,How do I overcome from depression without getting help from anyone?,How is depression cured without a therapist?,1
115170,115170,228313,228314,What are some of the best mobile gadgets?,What are some of the best phones gadgets?,1
196485,196485,387799,387800,What is most difficult thing about learning English for non-native speakers?,What aspects of English do non-native find difficult?,1
287713,287713,565375,565376,What are the clues girl leaves you if she likes you?,How do I know if this girl likes me?,1
110827,110827,219769,219770,What is the best route to choose after completing a B.Tech in mechanical?,"After completing B.Tech in mechanical engineering, what job secured course should you take?",1
206499,206499,407392,407393,How do you get rid of cold sores?,What is the easiest way to get rid of a cold sore?,1
107925,107925,214040,214041,How do I break a bad habit?,How do I break habits?,1
196631,196631,388087,388088,Why do people often ask questions in Quora while they can Google it themselves?,Why do people ask questions on Quora that are easily answerable via a quick internet search?,1
348045,348045,681931,681932,What is the breakdown of Skype's total international user base in 2014 over each country?,What is the breakdown of Skype's total international user base in 2014 over each country the service is available in?,1
209540,209540,413325,413326,What are Best songs of Arijit Singh?,Which are the best songs of Arijit Singh and why?,1
174653,174653,345057,345058,What's a good workout plan to lose belly fat?,What are some workout plans to lose belly fat?,1
46408,46408,92402,92403,Where do I learn coding?,How should I learn to code?,1
334999,334999,656823,656824,What is best antivirus 2016?,Which is best 2016 antivirus for PC?,1
123235,123235,244199,244200,Who is the most powerful person on the planet?,Who actually is the most powerful person or what is most powerful organisation of the world?,1
48366,48366,96292,96293,I easily get bored. What can I do to avoid getting bored quickly?,I get bored too easily and lack a focus on something. What do I do?,1
20475,20475,40850,40851,How do you know if Bud Lite is gluten free?,"Is the Bud Lite a gluten free beverage? Why is it considered ""light""?",1
42444,42444,84535,84536,How do you make liquid water from Hydrogen and Oxygen? Can I do it myself?,Can you make water by combining hydrogen and oxygen?,1
312035,312035,612483,612484,What is the best way to learn chess?,How do I play chess?,1
243832,243832,480221,480222,What do you think about Modi government banning 500 & 1000 currency note from 9th November?,What do you think about Modi's new policy on the ban of Rs 500 and Rs 1000 notes?,1
8171,8171,16322,16323,Did matter exist before the big bang?,Did the void exist before the Big Bang?,1
298211,298211,585739,585740,Which is the best phone under ₹15000?,"Which phone would be the best for ₹15,000?",1
286985,286985,23485,563969,"What's the best way to invest $500,000?",What is the best way to invest $500K in 2016?,1
369682,369682,723453,723454,What Is your New year resolutions in 2017?,What are some new year resolutions for 2017?,1
174094,174094,343958,343959,Does Gary Johnson have any chance left at winning the presidency?,Why doesn't the Libertarian candidate Gary Johnson have a shot at winning the 2016 presidency?,1
182681,182681,360796,360797,What are the advantages of the decision taken by the Government of India to scrap out 500 and 1000 rupees notes?,Why do you think Indian government has demolished RS 500 and RS 1000 notes?,1
236743,236743,466375,466376,What is the opinion of Indian Muslim women on centre's affidvit to Supreme Court on banning triple talaq and polygamy?,Where do Indian Muslim males stand on triple talaq and UCC?,1
362509,362509,709713,709714,Is PM Modi and Arvind Kejriwal are the two face of same coin?,Are both Narendra Modi and Arvind Kejriwal two sides of the same coin?,1
15564,15564,31066,31067,What is the rarest colour?,What is the rarest colour? Why is it so rare?,1
211215,211215,416603,416604,Daniel Ek: When is Spotify coming to India?,When will Spotify arrive in India?,1
42705,42705,85056,85057,Why India is not releasing video of surgical strike on Pakistan?,Why Indian government is not releasing the footage of surgical strike in PoK?,1
375773,375773,735134,735135,As a student how can you be a healer?,As a student how can you become a healer?,1
361593,361593,707959,707960,What does having sex for the first time feel like?,What did it feel like when you first had sex?,1
101989,101989,202357,202358,What is the value pi?,How do I calculate PI?,1
322740,322740,633110,633111,Is there infinite energy in zero point energy in reality? (Not only in mathematics),Is there infinite energy in zero point energy or it is just a mathematical result with no physical existence?,1
139615,139615,276372,276373,"If you could change any one thing from your past, what would it be?","If you had the power to change just one thing in your past, what would that be?",1
9943,9943,19854,19855,Why Modi is putting a ban on 500 and 1000 notes?,Why is 500 and 1000 rupee notes discontinued?,1
22390,22390,44671,44672,What is your view on the move to scrap 500 and 1000 rupee notes? What will be its effects?,What is your opinion on the discontinuation of 500 and 1000 rupee notes?,1
98219,98219,194932,194933,Why is olive oil a better option than vegetable oil?,"Is olive oil really healthier than other types of vegetable oil? If so, why?",1
174320,174320,344401,344402,What is soil erosion?,What are the causes of soil erosion?,1
104595,104595,207477,207478,Is there any demand for chemical engineering?,What is the demand in chemical engineering?,1
236854,236854,466591,466592,How can I help my schools community?,How can I be beneficial to my school community?,1
102889,102889,1224,204126,How do I add topics to a question on Quora?,How can I add more than one topic to a question on Quora?,1
241166,241166,475027,475028,Is it true that India is faking a surgical strike?,Has India ever held a surgical strike?,1
89522,89522,177750,177751,Do people dream when in a coma?,Do people dream during comas?,1
374127,374127,731990,731991,What is the best free web hosting provider?,What is the best free web hosting service/site?,1
254460,254460,500889,500890,What are some good mechanical engineering seminar topics?,What is the best & latest seminar topic for a 3rd mechanical engineering student?,1
213466,213466,420966,420967,In what sites can I watch live football streaming (soccer) matches for free?,Where can I watch live streaming soccer?,1
345977,345977,677985,677986,Has Quora turned into a political hack for Clinton?,Is Quora biased towards Hillary Clinton?,1
359030,359030,703062,703063,What is network marketing and how does it work?,What is meant by network marketing?,1
305059,305059,598995,598996,Is Spotify available in India?,Daniel Ek: When is Spotify coming to India?,1
340422,340422,667306,667307,What are the main different between love and attraction? and How to identify love and attraction?,What is difference between true love and attraction?,1
390580,390580,763458,763459,Which is the best laptop under 60k in india?,Which is the best laptop I should buy under Rs.60000?,1
122108,122108,241976,241977,How can we earn money online in india?,"How can I earn money online, seriously?",1
281875,281875,554092,554093,What is the difference between Promotional & Transactional SMS?,What is the difference between transactional SMS and promotional SMS?,1
371838,371838,727587,727588,What is your passion and how did you turn it into your profession?,What does it take to turn your passion into a profession?,1
151952,151952,300575,300576,What are dum dum bullets?,What are Dum-Dum bullets?,1
291061,291061,571861,571862,What are some musical instruments that can be played with nails?,What are the musical instruments that I can play with long nails?,1
160502,160502,317343,317344,How do I improve my English language?,How can I improve my English in a very short time?,1
191138,191138,377342,377343,Which is the best email marketing online tool or software?,What is the best email marketing tool?,1
31158,31158,62111,62112,I lost my prescription slip for norco 10-325 before having filled it what can I do?,What do I do if I have lost my prescription slips?,1
241129,241129,474955,474956,What are the job opportunities after getting a Master's degree in mechanical engineering in Germany?,What are the career option and job opportunities for mechanical engineering graduate student in Germany?,1
212229,212229,418566,418567,Will Google dominate virtual assistants market?,Will Google dominate the digital assistant game like it does search?,1
263295,263295,518067,518068,How are incense sticks prepared?,How are incense sticks made?,1
228922,228922,451129,451130,What is the meaning or purpose of life?,What is the meaning and purpose to life?,1
254557,254557,501073,501074,Why does the color change of photos when copied to another computer?,Why does the color of photos change when copied to another laptop?,1
62126,62126,123552,123553,What is the difference between Quora and Google?,"I like Quora, but what is the difference between Quora and Google?",1
141933,141933,280930,280931,How do I learn Ethical hacking as a beginner?,Where can you learn ethical hacking?,1
125693,125693,249036,249037,Which are the best webdesigns?,Which is the best webdesign ever?,1
78848,78848,156636,156637,What side dishes should be served with Mac and cheese?,What are some great side dishes that go well with mac and cheese?,1
298891,298891,587068,587069,What do you think about the Indian Government policy of not circulating INR 500 and INR 1000?,What do you think of the decision by the Indian Government to replace 1000 notes with 2000 notes?,1
169134,169134,334240,334241,What is the most important thing in a relationship?,What is the best thing you have in your relationship?,1
346153,346153,678317,678318,What are the best ad campaigns you have seen?,Which is the best ad campaign?,1
81032,81032,160963,160964,How can I develop emotional intelligence?,How can we develop emotional intelligence?,1
350099,350099,685874,685875,What is the purpose of a cell membrane?,For what purpose is the cell membrane flexible?,1
110711,110711,219539,219540,What is a resistor? What does it do?,What's meant by resistor?,1
311760,311760,611949,611950,What are the advantages and disadvantages of GST bill?,What are the advantages & Disadvantages of GST bill?,1
78883,78883,156706,156707,What are views of mnit jaipur?,How is MNIT jaipur?,1
89604,89604,177912,177913,"Do Australians use the term ""sheila"" in normal conversation?","How did the Australian term ""sheila"" originate?",1
210987,210987,416158,416159,How do I find an excellent PTE Academic coaching in South Delhi?,How do I find an excellent coaching for PTE Academic in South Delhi?,1
232956,232956,458977,458978,What is Donald Trumps stance on China?,What does Donald Trump think of China?,1
2201,2201,4403,4404,What programming language I should learn first?,What is the best computer programming language to learn first?,1
309874,309874,608301,608302,As of today which programming language would be best to learn and master at as a career point of view?,Which programming language should I learn for career point of view?,1
247351,247351,487081,487082,How do I promote my website without spending money?,How can I promote my website without spending money?,1
236682,236682,466255,466256,How can I get better grades in school?,How can you get the best grades at school?,1
364404,364404,713331,713332,Why does Set Max show Sooryavansham so much?,Why set max telecast movie Suryavanshan on every week?,1
288883,288883,567655,567656,What is the difference between a strategy and a plan?,What is the difference between a plan and a strategy?,1
203756,203756,402019,402020,What situations led to World War 1?,What were the causes of World War I?,1
389641,389641,761661,761662,What is the best way to learn Java programming?,What are some tricks to learn Java quickly?,1
44159,44159,87939,87940,"What are some important things about finance everyone should know, regardless of their profession?",What are some important things about finance everyone should know?,1
211844,211844,417812,417813,What are some books that literally everybody should read?,What books I should read?,1
338634,338634,663847,663848,Can we expect time travel to become a reality?,Is time travel theoretically possible?,1
349215,349215,684183,684184,Why did Arnab Goswami Resigned?,Why Arnab Goswami resigned times now?,1
31378,31378,62548,62549,Where do we get weed in bangalore?,"Where can I get some high quality weed (cannabis,marijuana) in Bangalore?",1
110449,110449,219020,219021,How can I improve shortsightedness?,How do I improve my shortsightedness?,1
272997,272997,536868,536869,How do I increase height after puberty?,How do I increase height at age of 16?,1
74134,74134,147318,147319,How should I study to become the topper in the First Professional Examination in MBBS?,How should I study first year MBBS?,1
137674,137674,272572,272573,How can I stop my porn addiction?,What is the most effective way to break a porn addiction?,1
147918,147918,292662,292663,How do you add a profile picture on Quora?,How do I add a profile picture to my Quora account?,1
313986,313986,616235,616236,Do I need to quit gaming to have better grades at high school?,How can I get better grades in high school?Should I stop gaming to get better grades?,1
324919,324919,637339,637340,Is it actually possible to travel through time?,Is time travel possible in next 5 years?,1
29491,29491,58794,58795,What should I do to reduce weight?,How do I lose weight?,1
8857,8857,17690,17691,How do you know if you are in love with your crush?,How do you know when it is true love?,1
8362,8362,16702,16703,How do I deal with conservative parents?,What are the best ways to deal with conservative and conventional thinking parents?,1
956,956,1913,1914,What's it like to be a non-smoking mother of smoking children?,What's it like to be non-smoking mother of the smoking children?,1
401138,401138,783637,783638,What are examples of animals with vertebrates?,What are some examples of vertebrates?,1
57489,57489,114378,114379,Is there a difference between being smart and being over-smart?,What is the difference between being smart and over-smart?,1
290327,290327,570439,570440,HOW DOESI FUCK A LADY?,What are the best ways to fuck a lady?,1
251389,251389,494916,494917,How can I find out my forgotten Social Security number?,How can I find out what my social security number is online for free?,1
30152,30152,60108,60109,How can I increase the page rank of my website?,How do I increase the page rank of my blog?,1
129997,129997,257485,257486,How would a Hillary Clinton presidency be different than Obama's?,How would a Clinton presidency differ from an Obama presidency?,1
239836,239836,472412,472413,Why has Dhoni left the captaincy from ODI and T20?,Why did MS Dhoni resign as ODI and T20 Captain?,1
217071,217071,428001,428002,Can I get admission in DU for BA economics If I don't have Maths in 12th?,What is the eligibility criteria for economics Honors at Delhi University? Can I get in if I don't have maths as my subject in 11th and 12th?,1
126814,126814,251238,251239,"How do I overcome depression, anxiety and stress?",How do I overcome anxiety and depression?,1
141893,141893,280850,280851,How was Chinese and Japanese looks before the nuclear attack?,How was Chinese and Japanese look like before the nuclear attack?,1
54884,54884,109206,46366,Does Israel have the right to exist as a Jewish state?,Does the State of Israel have a right to exist? Why or why not?,1
194981,194981,384862,384863,Why did Hillary Clinton hold no press conferences in 2016?,Why won't Hillary Clinton hold a press conference?,1
390775,390775,763826,763827,How can you deal with people who think they are never wrong?,"How do you deal with people that ""are always right"" even when they are wrong?",1
319388,319388,626641,626642,Which is the rarest element in the universe?,What is the rarest element in the universe?,1
34897,34897,69541,69542,How do I develop Android apps?,What is the easiest way to develop an Android app?,1
317715,317715,623412,623413,How is Honda hornet 160?,Is there any one who is using Honda CB hornet 160?,1
360573,360573,706004,706005,What does it feel like to be blind?,What is it like to go blind?,1
370111,370111,724277,724278,How do I publish research papers during engineering?,Where can I publish research papers and engineering projects?,1
272533,272533,535962,535963,"What does it mean ""to learn""?",What do you mean by learning?,1
361914,361914,708567,708568,Why do so many people have a negative attitude toward Jewish people?,I'm not Jewish but why do so many people hate Jews? I've never understood this. What have they done?,1
34106,34106,67968,67969,What are the full implications of the Indian government's decision to withdraw all the old 500 and 1000 rupee notes from circulation?,What are your views on demonetization of 500 and 1000 rupee notes by the Modi Government?,1
345335,345335,676751,676752,How do I add a description/elaborate my question on Quora?,How do I add question details on Quora?,1
289874,289874,569566,569567,What is one of the best short stories?,Which are some of the best short stories?,1
2392,2392,4784,4785,How can medical doctors move into biotech or molecular biology?,How can medical doctors move into biotech?,1
115275,115275,228516,228517,Which is your favourite love poem?,What is your favourite poem and why?,1
337787,337787,662218,662219,Why the hell does Quora mark all my questions as needed improvement?,"Why does Quora keep marking my questions as ""needing improvement""?",1
211610,211610,417361,417362,Who is a better Person for office Hillary of Donald?,Why is Hillary Clinton a better choice than Donald Trump?,1
196266,196266,387370,387371,How do I develop my own operating system?,How could I make my own operating system?,1
117696,117696,233280,233281,How do I forget my ex after everything we've been through? It's been 4 Years since my breakup I still miss and love her a lot. What should I do?,How do I forget my ex after everything we've been through?,1
17928,17928,35776,35777,"Where can I get wide range of floor tile, wall tile and porcelain tiles in Sydney?",Where can I found large collections of ceramic and porcelain wall and floor tiles in Sydney?,1
10187,10187,20342,20343,What never fails to make you smile?,What is something that never fails to make you happy?,1
305228,305228,599319,599320,What are the top 2 Some important android phone app?,What are the top 2 important Android phone apps?,1
52286,52286,104050,104051,Which is the best korean drama of all time?,What is the best Korean dramas of all time?,1
154382,154382,305337,305338,What are some tips for starting a WordPress blog?,How do I start a WordPress blog?,1
365324,365324,715098,715099,What will happen to the Trump brand if he loses?,"If Donald Trump loses the election, how much damage has he done to the""Trump"" brand name?",1
396548,396548,774871,774872,What is the best way to reduce body weight?,What is the fastest possible way to lose weight?,1
297307,297307,583975,583976,How can I learn Chinese?,How can I learn Mandarin?,1
173689,173689,343164,343165,Does the brain have a limit on the amount of information it can store per day?,What is the amount of information that the brain can save in a day?,1
312677,312677,613716,613717,"What do you think about Modi Government decision to ban ₹500,₹1000 notes?",Don't you think Modi will repeal decision to ban 500 and 1000 notes as it will cause high inconvenience?,1
271528,271528,534016,534017,I'm 4 days late for my period. I've taken 4 pregnancy tests and they all came negative. What could this be?,"My period is over a week late. I'm typically very regular. I've taken 2 pregnancy tests, and they were negative. Could I be pregnant?",1
283461,283461,557148,557149,How do we cure racism?,How can we solve racism?,1
156518,156518,309526,309527,What are the best exercises to reduce one's chest size?,How can one reduce one's over-sized breasts?,1
295798,295798,581042,581043,Why do/did gender roles exist?,How were gender roles determined in the first place?,1
331667,331667,650376,650377,What can I do to get accepted into an Ivy League school?,How can I improve my chances of being accepted into an Ivy League school?,1
392688,392688,767493,767494,How do you raise self confidence?,How can I improve my confidence?,1
253434,253434,498894,498895,What are some sad and emotional songs that could make me cry?,What songs make you cry and why?,1
201307,201307,397246,397247,What can ASEAN do about rohingya?,What should the ASEAN do to the Rohingya people?,1
185711,185711,366722,366723,Which is the best programming language for a beginner to learn?,What are the best programming languages for beginners and why?,1
274721,274721,540205,540206,What is like to be raised by an Indian mother?,What is it like to be raised by an Indian mother?,1
20124,20124,40155,40156,Who (if anyone) benefits from global warming?,Who would benefit from global warming?,1
97082,97082,192691,192692,Is there any possibility that reservation on the basis of caste will end in India in future?,Is there are any chances that the reservation in india might stop?,1
384938,384938,752673,752674,What would happen when I die?,What happens when you die? (No religion),1
351915,351915,689358,689359,Which are the good websites to get information about government job application forms and dates of exams?,Where can I get complete information about the upcoming government exams?,1
142158,142158,281376,281377,What would be the first thing you do as a zombie apocalypse survivor?,"The zombie apocalypse just started, what are the first few things you do?",1
17933,17933,35786,35787,Where can I find best hotels at Bhopal?,Where can I find best hotels in Bhopal?,1
232804,232804,458682,458683,How do I stop my dog from throwing up white foam?,What does it mean if a dog is throwing up yellow foam? How can it be treated?,1
25549,25549,23618,50954,Does time have a beginning and an end?,Does time have a beginning?,1
187322,187322,369880,369881,What are the benefits of privatizing any public sectors?,What are the benefits of privatizing public sectors?,1
397842,397842,777356,777357,What's the best smartphone I can get under rs. 15000?,What are the best smartphones under 15000?,1
221939,221939,437470,437471,Can dentists be called doctors?,Should dentists be called 'doctor' or what?,1
285736,285736,561561,561562,What are some animals that live in deserts?,What are the types of animals that live in a desert?,1
270371,270371,531775,531776,Why do people ask questions on Quora that can easily be answered by Google?,Why do people ask questions on Quora that could simply be googled?,1
343537,343537,673309,673310,How can you enlarge your penis?,How do I increase the size of a penis?,1
226801,226801,446988,446989,How do I get free iTunes gift cards in India?,How can I get free iTunes gift cards?,1
390525,390525,763354,763355,What is your best friend name?,What is your best friend's name?,1
387871,387871,758281,758282,Can a girl get pregnant after her last day of periods?,Is the fertilization is possible on first day after periods?,1
126851,126851,251311,251312,Have you ever been taken advantage of for your kindness? ,Has anyone taken advantage of your generosity?,1
321771,321771,631240,631241,Can we fall out of love?,How do I fall out of love with someone?,1
186864,186864,368982,368983,Why do some people's eyes change color when they grow up?,Why does people’s eye color change with age?,1
263047,263047,517577,517578,Why does hair turn white?,Why does hair turn grey as people age?,1
206939,206939,408245,408246,What programming language I should learn first?,What is the best programming language to learn(in your opinion)?,1
399353,399353,780227,780228,I forgot my Gmail username and have no access to my recovery phone number. How can I re-access my Gmail account?,I made a Gmail account on an Android phone but I forgot the password. What should I do to recover my password?,1
79986,79986,158895,158896,Who enjoys more sex men or women?,Is sex more pleasurable for men or for women?,1
177045,177045,349746,349747,How will demonitization stop black money?,Is money demonetisation really working for black money?,1
202206,202206,398993,398994,How did you cope with the uncertainty?,How can I handle uncertainty?,1
296992,296992,583369,583370,How do I control my anger and have patience?,What do I do to have anger management?,1
87190,87190,173142,173143,How can I check one's IQ?,How do I check someone's IQ?,1
154578,154578,305722,305723,Was 9/11 really an Inside job?,Was 9/11 inside job?,1
154958,154958,306465,306466,How can I stop masturbating daily?,How do stop doing masturation?,1
352158,352158,689827,689828,Is there infinite energy in the universe?,Is universe energy infinite?,1
232081,232081,457278,457279,How can I find the real true purpose of my life?,How can I find the aim of my life?,1
314354,314354,616939,616940,Which is the best and cheap projector to buy?,What is cheap and best projector?,1
331611,331611,650265,650266,What is the best rum to mix with Coke?,What is the best rum and Coke recipe?,1
370830,370830,725666,725667,How can I learn to speak English fluently?,How do I speak fluent English with confidence?,1
344664,344664,675466,675467,How much would a pregnant belly show at 1 month?,What does a 1 month pregnant belly look like?,1
184468,184468,364288,364289,What's the reason India fails in Olympics?,What is the reason behind India's bad performance in Olympics?,1
218493,218493,430779,430780,"What is the difference between the GRE and the GMAT? Which one is the hardest, and which one is the best?",What's the difference between the GRE and GMAT? And which one is more difficult?,1
1677,1677,3355,3356,Why does the caste system persist in India?,Why caste system still survive in India?,1
62311,62311,123921,123922,How do I continue to improve my writing?,How do I improve my writing?,1
51693,51693,102872,102873,Adult Dating and Relationships: What are the best sex positions?,What is the best sex position?,1
207914,207914,410155,410156,How do I increase the height?,What are the ways to gain height?,1
270937,270937,532869,532870,Is it true that career in designing requires lots of money as compared to the other fields?,Is it true that the career in designing requires a lot of money as compared to the other fields?,1
321357,321357,630440,630441,How long should I boil a 4 oz lobster tail?,How long should I boil a lobster tail?,1
384909,384909,752617,752618,How can I loose weight naturally without exercise?,How do I lose weight without doing exercise or diet?,1
254747,254747,501443,501444,How can I find my passion in life?,How do I find passion in life?,1
28766,28766,57353,57354,What is the best programming/coding language to learn?,What is the best programming language to learn(in your opinion)?,1
131701,131701,260852,260853,How does the geographic North Pole differ from the magnetic North Pole?,How far are the North and South magnetic poles from the North and South geographic poles?,1
303601,303601,596171,596172,How can I overcome the procrastination?,What are the best techniques that worked for you to overcome procrastination?,1
291653,291653,573011,573012,How do I recover my Gmail password with a recovery mobile number and a Gmail address?,How will I recover my Gmail if I forgot my password and I lost my phone recovery?,1
392504,392504,767140,767141,How should I study (give me a study plan) for 1st year mbbs?,What are some study plans for the MBBS 1st year?,1
51630,51630,102748,102749,Is it okay to eat two meals a day?,What will happen if i eat only two meals per day?,1
164058,164058,324328,324329,How can I stop myself from going on eating like crazy?,How does one stop themself from over eating?,1
360200,360200,705294,705295,Can a IAS officer give order to an IPS officer?,Can an IAS officer give any order to an IPS officer?,1
369264,369264,722655,722656,What is the unit of measure of darkness?,What is the physical unit of darkness?,1
391003,391003,764264,764265,What is the natural way to increase height at age of 20?,How can I gain height at age 20?,1
24318,24318,48513,48514,What are the health risks of smoking?,What are some of the health risks of smoking Parliament Menthol Lights?,1
269169,269169,529445,529446,What do you feel is the purpose of life?,What should the purpose of your life?,1
321662,321662,631031,631032,"If there was a movie produced about your life, who would play you and why?","If you could choose an actor/actress to play you in a movie based on your life, who would you choose and why?",1
16924,16924,33777,33778,What are some of the best slogans?,What are the best corporate slogans ever?,1
10283,10283,20534,20535,How can I avoid someone who's negative without them thinking that I am blowing them off?,How do I avoid someone without them noticing?,1
240562,240562,473842,473843,Why has the Modi Government banned the 500 and 1000 rupee notes?,Why is 500 and 1000 rupee notes discontinued?,1
198167,198167,391107,391108,What would happen if entire world stop eating meat?,What would happen if we all stopped eating meat?,1
339819,339819,666134,666135,Are there any countries where murder is presently legal?,Where in the world is murder legal?,1
